time,NYRIV
30.40000000000,29007.
61.40000000000,0.0000
89.40000000000,29007.
120.4000000000,29007.
150.4000000000,29007.
181.4000000000,29007.
211.4000000000,29007.
242.4000000000,29007.
273.4000000000,29007.
303.4000000000,29007.
334.4000000000,29007.
364.4000000000,0.0000
395.4000000000,0.0000
426.4000000000,0.0000
454.4000000000,29007.
485.4000000000,0.0000
515.4000000000,29007.
546.4000000000,29007.
576.4000000000,29007.
607.4000000000,29007.
638.4000000000,29007.
668.4000000000,29007.
699.4000000000,29007.
729.4000000000,0.0000
760.4000000000,0.0000
791.4000000000,0.0000
820.4000000000,0.0000
851.4000000000,29007.
881.4000000000,29007.
912.4000000000,29007.
942.4000000000,29007.
973.4000000000,29007.
1004.400000000,29007.
1034.400000000,29007.
1065.400000000,0.0000
1095.400000000,0.0000
1126.400000000,0.0000
1157.400000000,0.0000
1185.400000000,29007.
1216.400000000,29007.
1246.400000000,29007.
1277.400000000,29007.
1307.400000000,29007.
1338.400000000,29007.
1369.400000000,29007.
1399.400000000,29007.
1430.400000000,29007.
1460.400000000,0.0000
1491.400000000,0.0000
1522.400000000,0.0000
1550.400000000,0.0000
1581.400000000,29007.
1611.400000000,29007.
1642.400000000,29007.
1672.400000000,29007.
1703.400000000,29007.
1734.400000000,29007.
1764.400000000,29007.
1795.400000000,29007.
1825.400000000,0.0000
1856.400000000,0.0000
1887.400000000,0.0000
1915.400000000,29007.
1946.400000000,29007.
1976.400000000,29007.
2007.400000000,29007.
2037.400000000,29007.
2068.400000000,29007.
2099.400000000,29007.
2129.400000000,29007.
2160.400000000,0.0000
2190.400000000,0.0000
2221.400000000,0.0000
2252.400000000,0.0000
2281.400000000,0.0000
2312.400000000,0.0000
2342.400000000,29007.
2373.400000000,29007.
2403.400000000,29007.
2434.400000000,29007.
2465.400000000,29007.
2495.400000000,0.0000
2526.400000000,0.0000
2556.400000000,29007.
2587.400000000,29007.
2618.400000000,29007.
2646.400000000,29007.
2677.400000000,29007.
2707.400000000,29007.
2738.400000000,29007.
2768.400000000,29007.
2799.400000000,29007.
2830.400000000,29007.
2860.400000000,29007.
2891.400000000,29007.
2921.400000000,0.0000
2952.400000000,0.0000
2983.400000000,29007.
3011.400000000,29007.
3042.400000000,29007.
3072.400000000,29007.
3103.400000000,29007.
3133.400000000,29007.
3164.400000000,29007.
3195.400000000,29007.
3225.400000000,29007.
3256.400000000,0.0000
3286.400000000,0.0000
3317.400000000,0.0000
3348.400000000,29007.
3376.400000000,29007.
3407.400000000,29007.
3437.400000000,29007.
3468.400000000,29007.
3498.400000000,29007.
3529.400000000,29007.
3560.400000000,29007.
3590.400000000,29007.
3621.400000000,29007.
3651.400000000,0.0000
3682.400000000,29007.
3713.400000000,29007.
3742.400000000,0.0000
3773.400000000,0.0000
3803.400000000,29007.
3834.400000000,29007.
3864.400000000,29007.
3895.400000000,29007.
3926.400000000,29007.
3956.400000000,29007.
3987.400000000,29007.
4017.400000000,0.0000
4048.400000000,0.0000
4079.400000000,0.0000
4107.400000000,0.0000
4138.400000000,29007.
4168.400000000,29007.
4199.400000000,29007.
4229.400000000,29007.
4260.400000000,29007.
4291.400000000,29007.
4321.400000000,29007.
4352.400000000,29007.
4382.400000000,0.0000
4413.400000000,0.0000
4444.400000000,0.0000
4472.400000000,0.0000
