time,RIV01,RIV02,RIV03,RIV04,RIV05,RIV06,RIV07,RIV08,RIV09,RIV10,RIV11,RIV12,RIV13
30.40000000000,-0.65547E+06,-0.12775E+08,-0.82337E+07,-0.89981E+07,-0.22694E+07,-0.19387E+08,-0.94538E+07,-0.11002E+08,-0.44153E+07,-0.41357E+07,-0.65751E+07,-0.45584E+07,-0.17908E+08
61.40000000000,-0.37223E+06,-0.11843E+08,-0.72669E+07,-0.54819E+07,-0.12912E+07,-0.17868E+08,-0.89219E+07,-0.71177E+07,-0.32965E+07,-0.37525E+07,-0.65539E+07,-0.45213E+07,-0.17901E+08
89.40000000000,5564.4,-0.10596E+08,-0.39526E+07,-0.44439E+07,-0.44139E+06,-0.16124E+08,-0.79108E+07,-0.65279E+07,-0.29598E+07,-0.36888E+07,-0.65345E+07,-0.45221E+07,-0.17905E+08
120.4000000000,0.31765E+06,-0.90053E+07,0.34725E+06,0.11350E+07,-0.13934E+06,-0.14623E+08,-0.70200E+07,-0.64279E+07,-0.27977E+07,-0.36547E+07,-0.65126E+07,-0.45242E+07,-0.17908E+08
150.4000000000,-0.20653E+06,-0.91846E+07,-0.26324E+07,-0.29823E+07,-0.13921E+07,-0.15220E+08,-0.73897E+07,-0.98457E+07,-0.32667E+07,-0.36921E+07,-0.64936E+07,-0.45357E+07,-0.17868E+08
181.4000000000,-0.10374E+07,-0.10760E+08,-0.75854E+07,-0.12343E+08,-0.28155E+07,-0.17029E+08,-0.83529E+07,-0.13928E+08,-0.42368E+07,-0.39020E+07,-0.64920E+07,-0.45420E+07,-0.17861E+08
211.4000000000,-0.15021E+07,-0.11991E+08,-0.95326E+07,-0.17744E+08,-0.32949E+07,-0.18280E+08,-0.90691E+07,-0.16023E+08,-0.44399E+07,-0.39210E+07,-0.64882E+07,-0.45384E+07,-0.17822E+08
242.4000000000,-0.17383E+07,-0.13559E+08,-0.12230E+08,-0.22171E+08,-0.41243E+07,-0.20775E+08,-0.10645E+08,-0.16535E+08,-0.46995E+07,-0.42095E+07,-0.65032E+07,-0.44784E+07,-0.17811E+08
273.4000000000,-0.14299E+07,-0.14302E+08,-0.10607E+08,-0.19672E+08,-0.37111E+07,-0.21160E+08,-0.10846E+08,-0.16355E+08,-0.44844E+07,-0.40882E+07,-0.65064E+07,-0.44353E+07,-0.17794E+08
303.4000000000,-0.10995E+07,-0.14477E+08,-0.10878E+08,-0.16412E+08,-0.28667E+07,-0.20893E+08,-0.10590E+08,-0.13487E+08,-0.42311E+07,-0.40834E+07,-0.65081E+07,-0.44870E+07,-0.17835E+08
334.4000000000,-0.10356E+07,-0.13712E+08,-0.84457E+07,-0.92185E+07,-0.23098E+07,-0.19952E+08,-0.10050E+08,-0.10853E+08,-0.33150E+07,-0.34627E+07,-0.64776E+07,-0.44677E+07,-0.17780E+08
