trib_id,sid,trib_name,group,cellid,row,column
trib01,4030.0,clay_peak_gulch,1,272,5,12
trib02,4183.0,little_willow_creek,1,339,6,14
trib03,3563.0,unnamed,1,406,7,16
trib04,4041.0,big_willow_creek,1,472,8,17
trib05,3495.0,unnamed,1,604,10,19
trib06,3012.0,unnamed,2,604,10,19
trib07,3545.0,sand_hollow,2,738,12,23
trib08,3106.0,unnamed,2,805,13,25
trib09,2822.0,unnamed,2,806,13,26
trib10,2954.0,bissel_creek,2,808,13,28
trib11,2761.0,cherry_gulch,2,814,13,34
trib12,2460.0,unnamed,2,874,14,29
trib13,3257.0,pioneer_gulch,2,874,14,29
trib14,3080.0,unnamed,2,875,14,30
trib15,2953.0,haw_creek,2,876,14,31
trib16,2787.0,kingman_gulch,2,877,14,32
trib17,1485.0,schiller_creek,3,1142,18,37
trib18,1860.0,north_fork_willow_creek,3,1142,18,37
trib19,1750.0,unnamed,3,1273,20,38
trib20,2501.0,south_fork_willow_creek,3,1338,21,38
trib21,1777.0,woods_gulch,4,1536,24,41
trib22,1902.0,spring_valley_creek,4,1603,25,43
trib23,1891.0,broken_horn_gulch,4,1603,25,43
trib24,1478.0,mcfarland_creek,4,1670,26,45
trib25,1278.0,west_fork_currant_creek,4,1670,26,45
trib26,911.0,currant_creek,4,1735,27,45
trib27,444.0,north_fork_daniels_creek,5,1867,29,47
trib28,1175.0,dry_creek,5,1867,29,47
trib29,1228.0,south_fork_daniels_creek,5,1867,29,47
trib30,1350.0,stewart_gulch,5,1933,30,48
trib31,393.0,crane_creek,5,1933,30,48
trib32,1407.0,middle_fork_crane_creek,5,1998,31,48
trib33,473.0,hulls_gulch,5,2063,32,48
trib34,1418.0,south_fork_crane_creek,5,2063,32,48
trib35,1046.0,curlew_gulch,6,2129,33,49
trib36,1134.0,cottonwood_creek,6,2194,34,49
trib37,1884.0,picket_pin_creek,6,2194,34,49
trib38,481.0,warm_springs_creek,6,2326,36,51
trib39,758.0,maynard_gulch,6,2456,38,51
trib40,1267.0,highland_valley,6,2522,39,52
trib41,1104.0,west_fork_blacks_creek,7,2787,43,57
trib42,1144.0,blacks_creek,7,2853,44,58
trib43,927.0,unnamed,7,2920,45,60
trib44,843.0,west_fork_slater_creek,7,2920,45,60
trib45,879.0,east_fork_slater_creek,8,2986,46,61
trib46,1165.0,indian_creek,8,3052,47,62
trib48,,payette,10,814,13,34
trib48,,payette,10,880,14,35
trib47,,boise,9,2523,39,53
trib47,,boise,9,2588,40,53
trib47,,boise,9,2653,41,53
trib49,,indian,11,3183,49,63
trib49,,indian,11,3249,50,64
trib49,,indian,11,3314,51,64
trib50,,se_divide,12,3378,52,63
trib50,,se_divide,12,3442,53,62
trib50,,se_divide,12,3506,54,61
trib50,,se_divide,12,3570,55,60
trib50,,se_divide,12,3633,56,58
trib50,,se_divide,12,3634,56,59
trib50,,se_divide,12,3635,56,60
trib50,,se_divide,12,3695,57,55
trib50,,se_divide,12,3696,57,56
trib50,,se_divide,12,3697,57,57
trib50,,se_divide,12,3752,58,47
trib50,,se_divide,12,3756,58,51
trib50,,se_divide,12,3757,58,52
trib50,,se_divide,12,3758,58,53
trib50,,se_divide,12,3759,58,54
trib50,,se_divide,12,3814,59,44
trib50,,se_divide,12,3815,59,45
trib50,,se_divide,12,3816,59,46
trib50,,se_divide,12,3818,59,48
trib50,,se_divide,12,3819,59,49
trib50,,se_divide,12,3820,59,50
trib50,,se_divide,12,3877,60,42
trib50,,se_divide,12,3878,60,43
trib50,,se_divide,12,3941,61,41
trib50,,se_divide,12,4005,62,40
trib50,,se_divide,12,4069,63,39
trib50,,se_divide,12,4133,64,38
