old_district,district
3,3
5,5
14,14
16,16
25,25
26,26
29,29
35,35
44,44
45,45
48,48
53,53
54,54
58,58
59,59
60,60
62,62
64,64
66,66
68,68
70,70
71,71
75,75
77,77
78,78
79,79
81,81
84,84
85,85
87,87
30,88
31,88
36,88
42,88
52,88
9,89
15,89
22,89
37,89
41,89
69,89
11,90
12,90
27,90
56,90
10,91
23,91
34,91
43,91
2,92
17,92
47,92
49,92
74,93
82,93
1,94
13,94
38,94
39,94
46,94
61,94
18,95
20,95
33,95
80,95
4,96
21,96
27,96
32,96
55,96
24,97
40,97
51,97
63,97
72,97
6,98
7,98
8,98
57,98
73,98
83,98
28,99
67,99
86,99
65,100
76,100
74,101
82,101
50,102
19,102
