bore_id,tvgwfm_nam
ow0001,idwr_other-04n_01e_10acb1
ow0002,idwr_other-04n_01e_10acb2-destroyed
ow0003,idwr_other-04n_01e_10bbc1
ow0004,idwr_other-04n_01e_04dcc1-destroyed
ow0005,idwr_other-lds_church_eagle_stake_well
ow0006,idwr_other-nac_monitoring_well_1
ow0007,idwr_other-nac_monitoriong_well_2
ow0008,idwr_other-eaglefield_legacy_deep
ow0009,idwr_other-eaglefield_legacy_intermediate
ow0010,idwr_other-eaglefield_legacy_shallow
ow0011,idwr-moyle_flowing
ow0012,idwr-tv_11th_ave_n_well
ow0013,idwr_other-03n_02w_12bab1
ow0014,idwr-tv_1505_blackcat_well
ow0015,idwr-tv_59th_st_well
ow0016,idwr-tv_amber_st_well
ow0017,idwr-tv_amity-linder_well
ow0018,idwr-tv_birmingham_rd_well
ow0019,idwr-tv_black_cat_kuna_well
ow0020,idwr_other-02n_01w_27cdd1
ow0021,idwr_other-wc_call_well
ow0022,idwr-tv_boehlke_well
ow0023,idwr-tv_boise_gun_club_well
ow0024,idwr-tv_bunch-kirkwood_well
ow0025,idwr-tv_camas_st_well
ow0026,idwr_other-03n_01e_15cba1
ow0027,idwr_other-03n_01e_15cda1
ow0028,idwr_other-03n_01e_16adda1
ow0029,idwr_other-03n_01e_22bad1
ow0030,suez-mw-edgeview
ow0031,idwr-tv_canada_well
ow0032,idwr-tv_cannon_farms_well_5
ow0033,idwr_other-02n_03w_22cab1
ow0034,idwr-tv_canyon_honda_well
ow0035,idwr_other-03n_02w_17abac1
ow0036,idwr_other-03n_02w_17abac2
ow0037,idwr_other-03n_02w_17abac3
ow0038,idwr_other-03n_02w_17abad1
ow0039,idwr_other-03n_02w_17abad2
ow0040,idwr_other-03n_02w_17abda1
ow0041,idwr_other-03n_02w_17abda10
ow0042,idwr_other-03n_02w_17abda2
ow0043,idwr_other-03n_02w_17abda3
ow0044,idwr_other-03n_02w_17abda4
ow0045,idwr_other-03n_02w_17abda5
ow0046,idwr_other-03n_02w_17abda7
ow0047,idwr_other-03n_02w_17abda9
ow0048,idwr_other-03n_02w_17abdb1
ow0049,idwr_other-03n_02w_17abdb2
ow0050,idwr-tv_catalpa_dr_well
ow0051,idwr_other-04n_02e_29aca1
ow0052,idwr_other-04n_02e_30daa1
ow0053,idwr_other-04n_02e_31aab2
ow0054,idwr_other-04n_02e_32abbc1
ow0055,idwr_other-04n_02e_32bbc1
ow0056,idwr_other-niznik_stralow_well
ow0057,suez-mw-willow_lane_2
ow0058,idwr-tv_chicken_dinner_rd_well
ow0059,idwr_other-03n_04w_11ada1-destroyed
ow0060,idwr_other-baro_troll_for_treasure_valley_network
ow0061,idwr-tv_cool_rd_well
ow0062,idwr_other-02n_03w_06bad1
ow0063,idwr-tv_coppercloud_well
ow0064,idwr-tv_country_squire_well
ow0065,idwr_other-03n_01e_02abab1
ow0066,idwr_other-03n_01e_02abb1
ow0067,idwr-tv_crosthwaite_well
ow0068,idwr_other-03n_01e_23dab1
ow0069,idwr_other-03n_01e_23ddd1
ow0070,idwr_other-03n_01e_24bdd1
ow0071,idwr_other-03n_01e_25bcb2
ow0072,idwr-tv_duff_lane_well
ow0073,idwr-tv_dunwoody_well
ow0074,idwr_other-tv_mcmillan_well
ow0075,meridian-mw-26b-z2
ow0076,meridian-mw-26b-z3
ow0077,meridian-mw-26b-z4
ow0078,idwr-tv_e_boise_ave_well
ow0079,idwr-tv_whitney_fire_well
ow0080,idwr_other-03n_03e_29ccd1
ow0081,idwr_other-03n_03e_29ccda2
ow0082,idwr_other-03n_03e_30daad2
ow0083,idwr-tv_e_kuna_rd_well
ow0084,idwr_other-02n_01e_29cad1
ow0085,idwr_other-02n_01e_29dca1
ow0086,idwr-tv_ed_van_grouw_well
ow0087,idwr-tv_elkhorn_well
ow0088,idwr-tv_elmcrest_well
ow0089,idwr-tv_fountain_rd_well
ow0090,idwr-tv_goodson_rd_well
ow0091,idwr-tv_happy_valley_well
ow0092,idwr_other-02n_02w_12aab1
ow0093,idwr-tv_harris_s_cole_well
ow0094,idwr-tv_hollow_rd_well
ow0095,idwr-tv_hollylynn_well
ow0096,idwr_other-02n_02e_07bad1
ow0097,idwr-tv_homedale_rd_well
ow0098,idwr-tv_hubbard_rd_well
ow0099,idwr-tv_hwy_95_well
ow0100,idwr_other-tv_city_of_parma_well_6
ow0101,idwr-tv_idl_house_well
ow0102,idwr_other-02n_02e_04cba1
ow0103,idwr_other-02n_02e_08aad1
ow0104,idwr_other-seb_idl_field_well
ow0105,idwr-tv_indiana_ave_well
ow0106,idwr_other-03n_03w_14cda1
ow0107,idwr-tv_itd_middleton_well
ow0108,idwr_other-04n_03w_04ddcd1
ow0109,idwr-tv_kilzer_well
ow0110,idwr-tv_lansing_rd_well
ow0111,idwr_other-05n_02w_22cad1
ow0112,idwr-tv_laster_rd_well
ow0113,idwr_other-city_of_caldwell_well
ow0114,idwr-tv_lemhi_well
ow0115,idwr_other-03n_02e_21dca1
ow0116,idwr_other-03n_02e_28bdb1
ow0117,suez-mw-hillcrest
ow0118,idwr-tv_lenzi_well
ow0119,idwr_other-03n_02e_11dda1
ow0120,idwr_other-03n_02e_14aaa1
ow0121,idwr_other-city_of_boise_quarry_view_park_well
ow0122,idwr-tv_linder_rd_well
ow0123,idwr_other-02n_01w_12baa1-destroyed
ow0124,idwr-tv_lloyd_noe_well_2
ow0125,idwr-tv_logan_st_well
ow0126,idwr_other-04n_03w_28addd1
ow0127,idwr-tv_lonestar_rd_well
ow0128,idwr-tv_looney_well
ow0129,idwr-tv_lynwood_rd_well
ow0130,idwr_other-01n_02w_04cdd1
ow0131,idwr-tv_middleton_rd_well
ow0132,idwr-tv_motive_power_41a_well
ow0133,idwr_other-03n_02e_25cacc1
ow0134,idwr_other-03n_02e_25cdba1
ow0135,idwr_other-03n_02e_25cdbb1
ow0136,idwr_other-03n_02e_26dab2
ow0137,idwr_other-seb_united_water_bergeson_well
ow0138,idwr_other-seb_united_water_centennial_well
ow0139,idwr_other-united_water_terteling_well
ow0140,suez-mw-bergeson
ow0141,suez-mw-centennial
ow0142,suez-mw-terteling
ow0143,idwr-tv_n_blackcat_well
ow0144,idwr-tv_northside_well
ow0145,idwr_other-03n_02w_04ddaa1
ow0146,idwr_other-03n_02w_04ddaa2
ow0147,idwr-tv_pelican_ln_well
ow0148,idwr-tv_pet_ln_well
ow0149,idwr-tv_powerline_rd_well
ow0150,idwr-tv_pump_rd_well
ow0151,idwr_other-gary_goulet-sky_ranch_well
ow0152,idwr-tv_quartz_rd_well
ow0153,idwr-tv_red_top_well
ow0154,idwr_other-04n_05w_07dca1
ow0155,idwr-tv_riva_ridge_well
ow0156,idwr_other-03n_01e_27cda1
ow0157,idwr_other-03n_01e_34acb2
ow0158,idwr_other-03n_01e_34bbb1
ow0159,suez-mw-five_mile_12
ow0160,idwr-tv_roosevelt_ave_well
ow0161,idwr_other-tv_lancaster_dr_well
ow0162,idwr-tv_ross_flowing_well
ow0163,idwr_other-04n_01w_07daaa1
ow0164,idwr_other-04n_01w_17bbdb1
ow0165,idwr-tv_roswell_well
ow0166,idwr-tv_sabin_rd_well
ow0167,idwr-tv_schism_school_well
ow0168,idwr_other-02n_02w_20cbb1-destroyed
ow0169,idwr-tv_shamrock_well
ow0170,idwr_other-03n_01e_03bba1
ow0171,idwr_other-03n_01e_03bbc1
ow0172,idwr_other-04n_01e_34bdc2
ow0173,idwr_other-04n_01e_34cad2
ow0174,idwr_other-united_water_corp_frontier_well
ow0175,suez-mw-frontier_2
ow0176,idwr-tv_skyline_rd_well
ow0177,idwr-tv_southside_blvd_well
ow0178,idwr_other-01s_02w_13abbc1
ow0179,idwr-tv_spurline_well
ow0180,idwr-tv_st_marks_well
ow0181,idwr_other-03n_02e_07aba1
ow0182,idwr_other-03n_02e_07abdc1
ow0183,idwr-tv_star_rd_1_well
ow0184,idwr-tv_star_rd_2_well
ow0185,idwr-tv_summerall_well
ow0186,idwr-tv_sunset_well
ow0187,idwr_other-04n_02e_28cddb1
ow0188,idwr_other-04n_02e_29ddb2
ow0189,idwr_other-04n_02e_29ddba1
ow0190,idwr_other-04n_02e_33baa1
ow0191,idwr_other-quail_hollow_cold_water_well
ow0192,idwr_other-ttci_house_office
ow0193,idwr-tv_texas_rd_well
ow0194,idwr_other-04n_04w_05ddb1
ow0195,idwr-tv_tlucek_nicholson_rd_well
ow0196,idwr-tv_wagner_rd_well
ow0197,idwr-tv_warren_spur_well
ow0198,idwr-tvhp_1-1
ow0199,idwr-tvhp_1-2
ow0200,idwr-tvhp_1-3
ow0201,idwr-tvhp_1-4
ow0202,idwr_other-04n_01e_14cab1
ow0203,idwr_other-04n_01e_14ccc1
ow0204,idwr_other-04n_01e_23aab1
ow0205,idwr_other-04n_01e_23adb1
ow0206,idwr-tvhp_3-1
ow0207,idwr-tvhp_3-2
ow0208,idwr-tvhp_3-3
ow0209,idwr-tvhp_3-4
ow0210,idwr-tvhp_3-5
ow0211,idwr-tvhp_3-6
ow0212,idwr-tvhp_3-7
ow0213,idwr-tvhp_3-8
ow0214,idwr-tvhp_4-1
ow0215,idwr-tvhp_4-2
ow0216,idwr-tvhp_4-3
ow0217,idwr-tvhp_4-4
ow0218,idwr-tvhp_4-5
ow0219,idwr_other-03n_02e_11cbab1
ow0220,idwr_other-03n_02e_11cbbb4
ow0221,idwr_other-03n_02e_11cbd1
ow0222,idwr_other-03n_02e_11ccc1
ow0223,idwr_other-03n_02e_14acb1
ow0224,idwr_other-03n_02e_14acb2
ow0225,idwr_other-03n_02e_14bac1
ow0226,idwr_other-01n_01e_03ccc1
ow0227,idwr_other-01n_01e_19adb1
ow0228,idwr_other-01n_01w_01bdb1
ow0229,idwr_other-01n_01w_02adc1
ow0230,idwr_other-01n_01w_07bcc2
ow0231,idwr_other-01n_01w_07dbb1
ow0232,idwr_other-jerry_davis_well_2
ow0233,idwr_other-john_kobe_&_clayter_forsgren_well
ow0234,idwr_other-01n_01w_18ccc1
ow0235,idwr_other-01n_02w_24aab1
ow0236,idwr_other-01n_02e_04bba1
ow0237,idwr_other-01n_02e_06ddc2
ow0238,idwr_other-01n_02e_07abb1
ow0239,idwr_other-01n_02e_08bbb1
ow0240,idwr_other-01n_02e_07aab1
ow0241,idwr_other-01n_02e_15dca1
ow0242,idwr_other-01n_02w_01abc1
ow0243,idwr_other-01n_02w_08ddd2
ow0244,idwr_other-01n_02w_09ddd2
ow0245,idwr_other-01n_02w_14dad1
ow0246,idwr_other-01n_02w_15dca1
ow0247,idwr_other-01n_02w_17dda1
ow0248,idwr_other-01n_02w_21aba1
ow0249,idwr_other-01n_02w_29bac1
ow0250,idwr_other-01n_03e_28caa1
ow0251,idwr_other-seb_rest_area_well
ow0252,idwr_other-01n_03w_12ddd1
ow0253,idwr_other-01n_03w_13aaa1
ow0254,idwr_other-01n_03w_15add1
ow0255,idwr_other-01n_04e_13cccb1
ow0256,idwr_other-neilson
ow0257,idwr_other-tippetts
ow0258,idwr_other-zimmer
ow0259,idwr_other-01n_04e_13dac1
ow0260,idwr_other-lord_5-field
ow0261,idwr_other-01n_04e_27cbd1
ow0262,idwr_other-01n_04e_32ab2
ow0263,idwr_other-icr_shallow
ow0264,idwr_other-stage_deep
ow0265,idwr_other-stage_shallow
ow0266,idwr_other-01n_05e_06cab1
ow0267,idwr_other-lord_1-alzola1
ow0268,idwr_other-lord_2-alzola2
ow0269,idwr_other-01n_05e_17bab1
ow0270,idwr_other-spf-above_mayfield_narrows
ow0271,idwr_other-spf-transfer_well
ow0272,idwr_other-01n_05e_28adc1
ow0273,idwr_other-01s_01e_06ccd1
ow0274,idwr_other-01s_01e_07cba1
ow0275,idwr_other-01s_01w_07cbb1
ow0276,idwr_other-01s_01w_18adc1
ow0277,idwr_other-01s_01w_19aab1
ow0278,idwr_other-01s_01w_29cbc1
ow0279,idwr_other-01s_01w_29cbd1
ow0280,idwr_other-01s_01w_30bab1
ow0281,idwr_other-01s_02w_03dbc1
ow0282,idwr_other-01s_02w_08dcd1
ow0283,idwr_other-01s_02w_14adad1
ow0284,idwr_other-01s_02w_24cba1
ow0285,idwr_other-01s_04e_03adb1
ow0286,idwr_other-01s_04e_23bbb1
ow0287,idwr_other-02n_01e_01bcbc1
ow0288,idwr_other-02n_01e_02bacb1
ow0289,idwr_other-03n_01e_35adc1
ow0290,idwr_other-03n_01e_35ccb1
ow0291,idwr_other-02n_01e_05cbdc1
ow0292,idwr_other-02n_01e_07cbbc1
ow0293,idwr_other-02n_01e_08acc1
ow0294,idwr_other-02n_01e_10ada1
ow0295,idwr_other-02n_01e_10ada2
ow0296,idwr_other-02n_01e_10adac1
ow0297,suez-mw-hidden_valley_1
ow0298,idwr_other-02n_01e_12cdb1
ow0299,idwr_other-02n_01e_15aba1
ow0300,idwr_other-02n_01e_16ddd2
ow0301,idwr_other-02n_01e_21cab2
ow0302,idwr_other-02n_01e_31ddc1
ow0303,idwr_other-02n_01e_33cac2
ow0304,idwr_other-02n_01e_33cca2
ow0305,idwr_other-tv_s_eagle_rd_well
ow0306,idwr_other-02n_01w_02bba1
ow0307,idwr_other-02n_01w_03abb1
ow0308,idwr_other-03n_01w_34acb1
ow0309,idwr_other-02n_01w_06ddd1
ow0310,idwr_other-02n_01w_07aab1
ow0311,idwr_other-02n_01w_08bbba1
ow0312,idwr_other-02n_01w_09ada1
ow0313,idwr_other-02n_01w_09ada2
ow0314,idwr_other-02n_01w_10abb1
ow0315,idwr_other-02n_01w_15adc1
ow0316,idwr_other-02n_01w_23acc1
ow0317,idwr_other-02n_01w_24dab1
ow0318,idwr_other-02n_01w_28aab1
ow0319,idwr_other-02n_01w_29dcc1
ow0320,idwr_other-02n_01w_35bdc1
ow0321,idwr_other-02n_01w_35bdc2
ow0322,idwr_other-02n_02e_01aac1
ow0323,idwr_other-seb_united_water_oregon_trail_well
ow0324,idwr_other-united_water_oregon_trail_height_well
ow0325,idwr_other-02n_02e_01bab1
ow0326,idwr_other-03n_02e_36cda1
ow0327,idwr_other-seb_united_water_croman_well
ow0328,idwr_other-02n_02e_02bbc1
ow0329,idwr_other-seb_united_water_jr_flat_well
ow0330,suez-mw-jr_flat
ow0331,idwr_other-02n_02e_06ccc1
ow0332,idwr_other-02n_02e_06ccc2
ow0333,idwr_other-02n_02e_12aac1
ow0334,idwr_other-02n_03e_06bcc2
ow0335,idwr_other-02n_03e_07ba2
ow0336,idwr_other-02n_03e_07bbd1
ow0337,idwr_other-seb_micron_deep_obs_well
ow0338,idwr_other-seb_micron_shallow_obs_well
ow0339,idwr_other-seb_micron_test_1_well
ow0340,idwr_other-seb_micron_test_2_well
ow0341,idwr_other-02n_02e_17aad1
ow0342,idwr_other-seb_united_water_ten_mile_well
ow0343,suez-mw-ten_mile
ow0344,idwr_other-02n_02w_02cacc1
ow0345,idwr_other-02n_02w_05aba1
ow0346,idwr_other-02n_02w_07cbc1
ow0347,idwr_other-02n_02w_09acc1
ow0348,idwr_other-02n_02w_10caa1
ow0349,idwr_other-02n_02w_10caa2
ow0350,idwr_other-02n_02w_11cba1
ow0351,idwr_other-02n_02w_11cbdd1
ow0352,idwr_other-02n_02w_11dcd1
ow0353,idwr_other-02n_02w_11ddbc1
ow0354,idwr_other-02n_02w_14bbb1
ow0355,idwr_other-02n_02w_14bbc1
ow0356,idwr_other-02n_02w_11dddb1
ow0357,idwr_other-02n_02w_12cdd1
ow0358,idwr_other-02n_02w_12adcd1
ow0359,idwr_other-02n_02w_23abd1
ow0360,idwr_other-02n_02w_28ddd1
ow0361,idwr_other-02n_02w_29bcc1
ow0362,idwr_other-02n_02w_30bba1
ow0363,idwr_other-02n_03e_02cdd1
ow0364,idwr_other-02n_03e_10bbb1
ow0365,idwr_other-02n_03e_10bcb1
ow0366,idwr_other-02n_03e_11acc1
ow0367,idwr_other-02n_03e_18bac1
ow0368,idwr_other-seb_micron_pettibone_well
ow0369,idwr_other-02n_03w_02cbd1
ow0370,idwr_other-02n_03w_02cbd2
ow0371,idwr_other-02n_03w_04dda1
ow0372,idwr_other-02n_03w_10bad1
ow0373,idwr_other-02n_03w_05aaa1
ow0374,idwr_other-03n_03w_33bbcc1
ow0375,idwr_other-03n_03w_33bbcc2
ow0376,idwr_other-02n_03w_06bba1
ow0377,idwr_other-02n_03w_07cdb1
ow0378,idwr_other-02n_03w_07cdc2
ow0379,idwr_other-02n_03w_09ada1
ow0380,idwr_other-02n_03w_09dac1
ow0381,idwr_other-02n_03w_15bbc1
ow0382,idwr_other-02n_03w_13bcb1
ow0383,idwr_other-02n_03w_13cca2
ow0384,idwr_other-02n_03w_14caa1
ow0385,idwr_other-02n_03w_16baa1
ow0386,idwr_other-02n_03w_16cca1
ow0387,idwr_other-02n_03w_17dcc1
ow0388,idwr_other-esther_helfrich_well
ow0389,idwr_other-02n_03w_21bcd1
ow0390,idwr_other-02n_03w_24bdd1
ow0391,idwr_other-02n_03w_31aaa1
ow0392,idwr_other-02n_03w_35caa2
ow0393,idwr_other-02n_03w_36dad1
ow0394,idwr_other-elmer_tiegs_well
ow0395,idwr_other-02n_04w_01adb1
ow0396,idwr_other-02n_04w_01dca1
ow0397,idwr_other-02n_04w_02aaa1
ow0398,idwr_other-02n_04w_02bdc1
ow0399,idwr_other-02n_04w_11aaa1
ow0400,idwr_other-02n_04w_13acd1
ow0401,idwr_other-02n_04w_13dca1
ow0402,idwr_other-02n_04w_24aab1
ow0403,idwr_other-02n_04w_24bab1
ow0404,idwr_other-02n_04w_24ccd1
ow0405,idwr_other-02n_04w_25bac1
ow0406,idwr_other-02n_04w_25cad1
ow0407,idwr_other-03n_01e_01bcd1
ow0408,suez-mw-bali_hai
ow0409,idwr_other-03n_01e_02ccb1
ow0410,idwr_other-03n_01e_02dc1
ow0411,idwr_other-03n_01e_11bdb1
ow0412,idwr_other-03n_01e_03cdb1
ow0413,idwr_other-03n_01e_09ada1
ow0414,idwr_other-03n_01e_10baa2
ow0415,idwr_other-03n_01e_04bad1
ow0416,idwr_other-03n_01e_05aab2
ow0417,meridian-mw-18-z1
ow0418,meridian-mw-18-z2
ow0419,idwr_other-03n_01e_06bbab1
ow0420,idwr_other-04n_01e_31dccd1
ow0421,idwr_other-03n_01e_06ddd1
ow0422,meridian-mw-16b-z1
ow0423,meridian-mw-16b-z2
ow0424,meridian-mw-16b-z3
ow0425,meridian-mw-16b-z4
ow0426,meridian-mw-16b-z5
ow0427,meridian-mw-16b-z6
ow0428,meridian-mw-16b-z7
ow0429,meridian-mw-16b-z8
ow0430,meridian-mw-16b-z9
ow0431,idwr_other-03n_01e_08dcdc1
ow0432,idwr_other-03n_01e_17abcc1
ow0433,idwr_other-03n_01e_17bbb1
ow0434,idwr_other-03n_01e_10bda1
ow0435,idwr_other-03n_01e_11caa1
ow0436,idwr_other-03n_01e_14bbc1
ow0437,idwr_other-03n_01e_14bbd1
ow0438,idwr_other-03n_01e_15aad1
ow0439,idwr_other-03n_01e_11ddda1
ow0440,idwr_other-03n_01e_12bc1
ow0441,idwr_other-03n_01e_12bcd1
ow0442,idwr_other-03n_01e_12caba1
ow0443,idwr_other-03n_01e_12cabd2
ow0444,idwr_other-03n_01e_12caca1
ow0445,idwr_other-03n_01e_12caca2
ow0446,idwr_other-03n_01e_12caca3
ow0447,idwr_other-03n_01e_12caca5
ow0448,idwr_other-03n_01e_12cacb1
ow0449,idwr_other-03n_01e_12cacc1
ow0450,idwr_other-03n_01e_12cacd2
ow0451,idwr_other-03n_01e_12cacd3
ow0452,idwr_other-03n_01e_12cacd4
ow0453,idwr_other-03n_01e_12cacd5
ow0454,idwr_other-03n_01e_12cadc2
ow0455,idwr_other-03n_01e_12cadc8
ow0456,idwr_other-03n_01e_12dab1
ow0457,idwr_other-03n_01e_12dac1
ow0458,idwr_other-03n_01e_12daca1
ow0459,idwr_other-03n_01e_12dbbc1
ow0460,idwr_other-03n_01e_12dbbd1
ow0461,idwr_other-03n_01e_12dbdb1
ow0462,idwr_other-03n_01e_12dbdc1
ow0463,idwr_other-03n_01e_12dcbb2
ow0464,idwr_other-03n_01e_12ddca1
ow0465,idwr_other-03n_01e_13abaa1
ow0466,idwr_other-03n_01e_14aac1-destroyed
ow0467,idwr_other-03n_01e_14aac2
ow0468,idwr_other-united_water_corporation_well
ow0469,suez-mw-maple_hill
ow0470,suez-mw-maple_hill_2
ow0471,idwr_other-03n_01e_12ada1
ow0472,idwr_other-03n_01e_12ddac1
ow0473,idwr_other-03n_02e_07acdd1
ow0474,idwr_other-03n_02e_07adcb2
ow0475,idwr_other-03n_02e_07bcbd1
ow0476,idwr_other-03n_02e_07dacc1
ow0477,idwr_other-03n_02e_07dacc2
ow0478,idwr_other-03n_02e_07dacc3
ow0479,idwr_other-03n_02e_07dacc4
ow0480,idwr_other-03n_02e_07dacc5
ow0481,idwr_other-03n_02e_07dacd1
ow0482,idwr_other-03n_02e_07dacd2
ow0483,idwr_other-03n_02e_07ddba10
ow0484,idwr_other-03n_02e_07ddba12
ow0485,idwr_other-03n_02e_07ddba5
ow0486,idwr_other-03n_02e_07ddba7
ow0487,idwr_other-03n_02e_07ddbb1
ow0488,idwr_other-03n_02e_07ddbb2
ow0489,idwr_other-03n_02e_07ddbb3
ow0490,idwr_other-03n_02e_07ddbb4
ow0491,idwr_other-03n_02e_07ddbc1
ow0492,idwr_other-03n_02e_18bbbb1
ow0493,idwr_other-03n_02e_18bbbb2
ow0494,idwr_other-03n_02e_18bbbb3
ow0495,idwr_other-03n_02e_18bbbb4
ow0496,idwr_other-03n_02e_18bbbb5
ow0497,idwr_other-03n_02e_18bbbb6
ow0498,idwr_other-03n_02e_18bbbb7
ow0499,suez-mw-bethel
ow0500,idwr_other-03n_01e_13bcc1
ow0501,idwr_other-03n_01e_13bdb1-destroyed
ow0502,idwr_other-03n_01e_13ccd1
ow0503,idwr_other-03n_01e_14cac1
ow0504,idwr_other-03n_01e_15add1
ow0505,idwr_other-03n_01e_22aad1
ow0506,suez-mw-brook_hollow
ow0507,suez-mw-country_square
ow0508,suez-mw-countryman
ow0509,idwr_other-03n_01e_16bca1
ow0510,idwr_other-03n_01e_16dcbd1
ow0511,idwr_other-03n_01e_17aca1-destroyed
ow0512,idwr_other-03n_01e_19baa2
ow0513,idwr_other-03n_01e_21dca1
ow0514,idwr_other-03n_01e_22ccc1
ow0515,idwr_other-03n_01e_22cddb1
ow0516,idwr_other-03n_01e_27abbd1
ow0517,suez-mw-victory
ow0518,idwr_other-03n_01e_23cbc1
ow0519,idwr_other-03n_01e_26aca1
ow0520,idwr_other-03n_01e_26bad1
ow0521,idwr_other-03n_01e_24ada1
ow0522,idwr_other-03n_02e_18bdc1
ow0523,idwr_other-03n_02e_19baa2
ow0524,suez-mw-overland_6
ow0525,idwr_other-03n_01e_25aaa1-destroyed
ow0526,idwr_other-03n_02e_19cbd1
ow0527,idwr_other-03n_02e_19ccb1
ow0528,idwr_other-03n_02e_19dbd1
ow0529,idwr_other-03n_02e_19dcb1
ow0530,idwr_other-03n_02e_19dcc1
ow0531,idwr_other-03n_02e_19dcd1
ow0532,idwr_other-03n_02e_30bbc1
ow0533,suez-mw-cole
ow0534,idwr_other-03n_01e_25cbc1
ow0535,idwr_other-03n_01e_25cbd1
ow0536,idwr_other-03n_01e_25cbd2
ow0537,suez-mw-amity
ow0538,suez-mw-amity_2
ow0539,idwr_other-03n_01e_26cac1
ow0540,idwr_other-03n_01e_26ccd1
ow0541,idwr_other-03n_01e_26dab1
ow0542,idwr_other-03n_01e_34aad1
ow0543,idwr_other-03n_01e_29cba1
ow0544,idwr_other-03n_01e_30ddd1
ow0545,idwr_other-03n_01e_34caa1
ow0546,idwr_other-03n_01e_34cccd1
ow0547,suez-mw-la_grange
ow0548,idwr_other-03n_01e_36cbc1
ow0549,idwr_other-03n_01e_36ddb1
ow0550,suez-mw-sunset_west
ow0551,idwr_other-03n_01w_03aaaa1
ow0552,idwr_other-03n_01w_06dddc1
ow0553,idwr_other-03n_01w_08bdac1
ow0554,idwr_other-03n_01w_09aacb1
ow0555,idwr_other-03n_01w_11aada1
ow0556,idwr_other-03n_01w_11bdcc1
ow0557,meridian-mw-27-z1
