sp,days,start_date,mid_date,year,month
1,31,1986-01-01 00:00:00,1986-01-16 12:00:00,1986,1
2,28,1986-02-01 00:00:00,1986-02-15 00:00:00,1986,2
3,31,1986-03-01 00:00:00,1986-03-16 12:00:00,1986,3
4,30,1986-04-01 00:00:00,1986-04-16 00:00:00,1986,4
5,31,1986-05-01 00:00:00,1986-05-16 12:00:00,1986,5
6,30,1986-06-01 00:00:00,1986-06-16 00:00:00,1986,6
7,31,1986-07-01 00:00:00,1986-07-16 12:00:00,1986,7
8,31,1986-08-01 00:00:00,1986-08-16 12:00:00,1986,8
9,30,1986-09-01 00:00:00,1986-09-16 00:00:00,1986,9
10,31,1986-10-01 00:00:00,1986-10-16 12:00:00,1986,10
11,30,1986-11-01 00:00:00,1986-11-16 00:00:00,1986,11
12,31,1986-12-01 00:00:00,1986-12-16 12:00:00,1986,12
13,31,1987-01-01 00:00:00,1987-01-16 12:00:00,1987,1
14,28,1987-02-01 00:00:00,1987-02-15 00:00:00,1987,2
15,31,1987-03-01 00:00:00,1987-03-16 12:00:00,1987,3
16,30,1987-04-01 00:00:00,1987-04-16 00:00:00,1987,4
17,31,1987-05-01 00:00:00,1987-05-16 12:00:00,1987,5
18,30,1987-06-01 00:00:00,1987-06-16 00:00:00,1987,6
19,31,1987-07-01 00:00:00,1987-07-16 12:00:00,1987,7
20,31,1987-08-01 00:00:00,1987-08-16 12:00:00,1987,8
21,30,1987-09-01 00:00:00,1987-09-16 00:00:00,1987,9
22,31,1987-10-01 00:00:00,1987-10-16 12:00:00,1987,10
23,30,1987-11-01 00:00:00,1987-11-16 00:00:00,1987,11
24,31,1987-12-01 00:00:00,1987-12-16 12:00:00,1987,12
25,31,1988-01-01 00:00:00,1988-01-16 12:00:00,1988,1
26,29,1988-02-01 00:00:00,1988-02-15 12:00:00,1988,2
27,31,1988-03-01 00:00:00,1988-03-16 12:00:00,1988,3
28,30,1988-04-01 00:00:00,1988-04-16 00:00:00,1988,4
29,31,1988-05-01 00:00:00,1988-05-16 12:00:00,1988,5
30,30,1988-06-01 00:00:00,1988-06-16 00:00:00,1988,6
31,31,1988-07-01 00:00:00,1988-07-16 12:00:00,1988,7
32,31,1988-08-01 00:00:00,1988-08-16 12:00:00,1988,8
33,30,1988-09-01 00:00:00,1988-09-16 00:00:00,1988,9
34,31,1988-10-01 00:00:00,1988-10-16 12:00:00,1988,10
35,30,1988-11-01 00:00:00,1988-11-16 00:00:00,1988,11
36,31,1988-12-01 00:00:00,1988-12-16 12:00:00,1988,12
37,31,1989-01-01 00:00:00,1989-01-16 12:00:00,1989,1
38,28,1989-02-01 00:00:00,1989-02-15 00:00:00,1989,2
39,31,1989-03-01 00:00:00,1989-03-16 12:00:00,1989,3
40,30,1989-04-01 00:00:00,1989-04-16 00:00:00,1989,4
41,31,1989-05-01 00:00:00,1989-05-16 12:00:00,1989,5
42,30,1989-06-01 00:00:00,1989-06-16 00:00:00,1989,6
43,31,1989-07-01 00:00:00,1989-07-16 12:00:00,1989,7
44,31,1989-08-01 00:00:00,1989-08-16 12:00:00,1989,8
45,30,1989-09-01 00:00:00,1989-09-16 00:00:00,1989,9
46,31,1989-10-01 00:00:00,1989-10-16 12:00:00,1989,10
47,30,1989-11-01 00:00:00,1989-11-16 00:00:00,1989,11
48,31,1989-12-01 00:00:00,1989-12-16 12:00:00,1989,12
49,31,1990-01-01 00:00:00,1990-01-16 12:00:00,1990,1
50,28,1990-02-01 00:00:00,1990-02-15 00:00:00,1990,2
51,31,1990-03-01 00:00:00,1990-03-16 12:00:00,1990,3
52,30,1990-04-01 00:00:00,1990-04-16 00:00:00,1990,4
53,31,1990-05-01 00:00:00,1990-05-16 12:00:00,1990,5
54,30,1990-06-01 00:00:00,1990-06-16 00:00:00,1990,6
55,31,1990-07-01 00:00:00,1990-07-16 12:00:00,1990,7
56,31,1990-08-01 00:00:00,1990-08-16 12:00:00,1990,8
57,30,1990-09-01 00:00:00,1990-09-16 00:00:00,1990,9
58,31,1990-10-01 00:00:00,1990-10-16 12:00:00,1990,10
59,30,1990-11-01 00:00:00,1990-11-16 00:00:00,1990,11
60,31,1990-12-01 00:00:00,1990-12-16 12:00:00,1990,12
61,31,1991-01-01 00:00:00,1991-01-16 12:00:00,1991,1
62,28,1991-02-01 00:00:00,1991-02-15 00:00:00,1991,2
63,31,1991-03-01 00:00:00,1991-03-16 12:00:00,1991,3
64,30,1991-04-01 00:00:00,1991-04-16 00:00:00,1991,4
65,31,1991-05-01 00:00:00,1991-05-16 12:00:00,1991,5
66,30,1991-06-01 00:00:00,1991-06-16 00:00:00,1991,6
67,31,1991-07-01 00:00:00,1991-07-16 12:00:00,1991,7
68,31,1991-08-01 00:00:00,1991-08-16 12:00:00,1991,8
69,30,1991-09-01 00:00:00,1991-09-16 00:00:00,1991,9
70,31,1991-10-01 00:00:00,1991-10-16 12:00:00,1991,10
71,30,1991-11-01 00:00:00,1991-11-16 00:00:00,1991,11
72,31,1991-12-01 00:00:00,1991-12-16 12:00:00,1991,12
73,31,1992-01-01 00:00:00,1992-01-16 12:00:00,1992,1
74,29,1992-02-01 00:00:00,1992-02-15 12:00:00,1992,2
75,31,1992-03-01 00:00:00,1992-03-16 12:00:00,1992,3
76,30,1992-04-01 00:00:00,1992-04-16 00:00:00,1992,4
77,31,1992-05-01 00:00:00,1992-05-16 12:00:00,1992,5
78,30,1992-06-01 00:00:00,1992-06-16 00:00:00,1992,6
79,31,1992-07-01 00:00:00,1992-07-16 12:00:00,1992,7
80,31,1992-08-01 00:00:00,1992-08-16 12:00:00,1992,8
81,30,1992-09-01 00:00:00,1992-09-16 00:00:00,1992,9
82,31,1992-10-01 00:00:00,1992-10-16 12:00:00,1992,10
83,30,1992-11-01 00:00:00,1992-11-16 00:00:00,1992,11
84,31,1992-12-01 00:00:00,1992-12-16 12:00:00,1992,12
85,31,1993-01-01 00:00:00,1993-01-16 12:00:00,1993,1
86,28,1993-02-01 00:00:00,1993-02-15 00:00:00,1993,2
87,31,1993-03-01 00:00:00,1993-03-16 12:00:00,1993,3
88,30,1993-04-01 00:00:00,1993-04-16 00:00:00,1993,4
89,31,1993-05-01 00:00:00,1993-05-16 12:00:00,1993,5
90,30,1993-06-01 00:00:00,1993-06-16 00:00:00,1993,6
91,31,1993-07-01 00:00:00,1993-07-16 12:00:00,1993,7
92,31,1993-08-01 00:00:00,1993-08-16 12:00:00,1993,8
93,30,1993-09-01 00:00:00,1993-09-16 00:00:00,1993,9
94,31,1993-10-01 00:00:00,1993-10-16 12:00:00,1993,10
95,30,1993-11-01 00:00:00,1993-11-16 00:00:00,1993,11
96,31,1993-12-01 00:00:00,1993-12-16 12:00:00,1993,12
97,31,1994-01-01 00:00:00,1994-01-16 12:00:00,1994,1
98,28,1994-02-01 00:00:00,1994-02-15 00:00:00,1994,2
99,31,1994-03-01 00:00:00,1994-03-16 12:00:00,1994,3
100,30,1994-04-01 00:00:00,1994-04-16 00:00:00,1994,4
101,31,1994-05-01 00:00:00,1994-05-16 12:00:00,1994,5
102,30,1994-06-01 00:00:00,1994-06-16 00:00:00,1994,6
103,31,1994-07-01 00:00:00,1994-07-16 12:00:00,1994,7
104,31,1994-08-01 00:00:00,1994-08-16 12:00:00,1994,8
105,30,1994-09-01 00:00:00,1994-09-16 00:00:00,1994,9
106,31,1994-10-01 00:00:00,1994-10-16 12:00:00,1994,10
107,30,1994-11-01 00:00:00,1994-11-16 00:00:00,1994,11
108,31,1994-12-01 00:00:00,1994-12-16 12:00:00,1994,12
109,31,1995-01-01 00:00:00,1995-01-16 12:00:00,1995,1
110,28,1995-02-01 00:00:00,1995-02-15 00:00:00,1995,2
111,31,1995-03-01 00:00:00,1995-03-16 12:00:00,1995,3
112,30,1995-04-01 00:00:00,1995-04-16 00:00:00,1995,4
113,31,1995-05-01 00:00:00,1995-05-16 12:00:00,1995,5
114,30,1995-06-01 00:00:00,1995-06-16 00:00:00,1995,6
115,31,1995-07-01 00:00:00,1995-07-16 12:00:00,1995,7
116,31,1995-08-01 00:00:00,1995-08-16 12:00:00,1995,8
117,30,1995-09-01 00:00:00,1995-09-16 00:00:00,1995,9
118,31,1995-10-01 00:00:00,1995-10-16 12:00:00,1995,10
119,30,1995-11-01 00:00:00,1995-11-16 00:00:00,1995,11
120,31,1995-12-01 00:00:00,1995-12-16 12:00:00,1995,12
121,31,1996-01-01 00:00:00,1996-01-16 12:00:00,1996,1
122,29,1996-02-01 00:00:00,1996-02-15 12:00:00,1996,2
123,31,1996-03-01 00:00:00,1996-03-16 12:00:00,1996,3
124,30,1996-04-01 00:00:00,1996-04-16 00:00:00,1996,4
125,31,1996-05-01 00:00:00,1996-05-16 12:00:00,1996,5
126,30,1996-06-01 00:00:00,1996-06-16 00:00:00,1996,6
127,31,1996-07-01 00:00:00,1996-07-16 12:00:00,1996,7
128,31,1996-08-01 00:00:00,1996-08-16 12:00:00,1996,8
129,30,1996-09-01 00:00:00,1996-09-16 00:00:00,1996,9
130,31,1996-10-01 00:00:00,1996-10-16 12:00:00,1996,10
131,30,1996-11-01 00:00:00,1996-11-16 00:00:00,1996,11
132,31,1996-12-01 00:00:00,1996-12-16 12:00:00,1996,12
133,31,1997-01-01 00:00:00,1997-01-16 12:00:00,1997,1
134,28,1997-02-01 00:00:00,1997-02-15 00:00:00,1997,2
135,31,1997-03-01 00:00:00,1997-03-16 12:00:00,1997,3
136,30,1997-04-01 00:00:00,1997-04-16 00:00:00,1997,4
137,31,1997-05-01 00:00:00,1997-05-16 12:00:00,1997,5
138,30,1997-06-01 00:00:00,1997-06-16 00:00:00,1997,6
139,31,1997-07-01 00:00:00,1997-07-16 12:00:00,1997,7
140,31,1997-08-01 00:00:00,1997-08-16 12:00:00,1997,8
141,30,1997-09-01 00:00:00,1997-09-16 00:00:00,1997,9
142,31,1997-10-01 00:00:00,1997-10-16 12:00:00,1997,10
143,30,1997-11-01 00:00:00,1997-11-16 00:00:00,1997,11
144,31,1997-12-01 00:00:00,1997-12-16 12:00:00,1997,12
145,31,1998-01-01 00:00:00,1998-01-16 12:00:00,1998,1
146,28,1998-02-01 00:00:00,1998-02-15 00:00:00,1998,2
147,31,1998-03-01 00:00:00,1998-03-16 12:00:00,1998,3
148,30,1998-04-01 00:00:00,1998-04-16 00:00:00,1998,4
149,31,1998-05-01 00:00:00,1998-05-16 12:00:00,1998,5
150,30,1998-06-01 00:00:00,1998-06-16 00:00:00,1998,6
151,31,1998-07-01 00:00:00,1998-07-16 12:00:00,1998,7
152,31,1998-08-01 00:00:00,1998-08-16 12:00:00,1998,8
153,30,1998-09-01 00:00:00,1998-09-16 00:00:00,1998,9
154,31,1998-10-01 00:00:00,1998-10-16 12:00:00,1998,10
155,30,1998-11-01 00:00:00,1998-11-16 00:00:00,1998,11
