 KSTP      KPER              PERTIM         TOTIM          NCOL      NROW      ILAY      TEXT
 1         1                 30.40000       30.40000       65        64        1         HEAD
 1         1                 30.40000       30.40000       65        64        2         HEAD
 1         1                 30.40000       30.40000       65        64        3         HEAD
 1         1                 30.40000       30.40000       65        64        4         HEAD
 1         1                 30.40000       30.40000       65        64        5         HEAD
 1         1                 30.40000       30.40000       65        64        6         HEAD
 1         2                 31.00000       61.40000       65        64        1         HEAD
 1         2                 31.00000       61.40000       65        64        2         HEAD
 1         2                 31.00000       61.40000       65        64        3         HEAD
 1         2                 31.00000       61.40000       65        64        4         HEAD
 1         2                 31.00000       61.40000       65        64        5         HEAD
 1         2                 31.00000       61.40000       65        64        6         HEAD
 1         3                 28.00000       89.40000       65        64        1         HEAD
 1         3                 28.00000       89.40000       65        64        2         HEAD
 1         3                 28.00000       89.40000       65        64        3         HEAD
 1         3                 28.00000       89.40000       65        64        4         HEAD
 1         3                 28.00000       89.40000       65        64        5         HEAD
 1         3                 28.00000       89.40000       65        64        6         HEAD
 1         4                 31.00000       120.4000       65        64        1         HEAD
 1         4                 31.00000       120.4000       65        64        2         HEAD
 1         4                 31.00000       120.4000       65        64        3         HEAD
 1         4                 31.00000       120.4000       65        64        4         HEAD
 1         4                 31.00000       120.4000       65        64        5         HEAD
 1         4                 31.00000       120.4000       65        64        6         HEAD
 1         5                 30.00000       150.4000       65        64        1         HEAD
 1         5                 30.00000       150.4000       65        64        2         HEAD
 1         5                 30.00000       150.4000       65        64        3         HEAD
 1         5                 30.00000       150.4000       65        64        4         HEAD
 1         5                 30.00000       150.4000       65        64        5         HEAD
 1         5                 30.00000       150.4000       65        64        6         HEAD
 1         6                 31.00000       181.4000       65        64        1         HEAD
 1         6                 31.00000       181.4000       65        64        2         HEAD
 1         6                 31.00000       181.4000       65        64        3         HEAD
 1         6                 31.00000       181.4000       65        64        4         HEAD
 1         6                 31.00000       181.4000       65        64        5         HEAD
 1         6                 31.00000       181.4000       65        64        6         HEAD
 1         7                 30.00000       211.4000       65        64        1         HEAD
 1         7                 30.00000       211.4000       65        64        2         HEAD
 1         7                 30.00000       211.4000       65        64        3         HEAD
 1         7                 30.00000       211.4000       65        64        4         HEAD
 1         7                 30.00000       211.4000       65        64        5         HEAD
 1         7                 30.00000       211.4000       65        64        6         HEAD
 1         8                 31.00000       242.4000       65        64        1         HEAD
 1         8                 31.00000       242.4000       65        64        2         HEAD
 1         8                 31.00000       242.4000       65        64        3         HEAD
 1         8                 31.00000       242.4000       65        64        4         HEAD
 1         8                 31.00000       242.4000       65        64        5         HEAD
 1         8                 31.00000       242.4000       65        64        6         HEAD
 1         9                 31.00000       273.4000       65        64        1         HEAD
 1         9                 31.00000       273.4000       65        64        2         HEAD
 1         9                 31.00000       273.4000       65        64        3         HEAD
 1         9                 31.00000       273.4000       65        64        4         HEAD
 1         9                 31.00000       273.4000       65        64        5         HEAD
 1         9                 31.00000       273.4000       65        64        6         HEAD
 1         10                30.00000       303.4000       65        64        1         HEAD
 1         10                30.00000       303.4000       65        64        2         HEAD
 1         10                30.00000       303.4000       65        64        3         HEAD
 1         10                30.00000       303.4000       65        64        4         HEAD
 1         10                30.00000       303.4000       65        64        5         HEAD
 1         10                30.00000       303.4000       65        64        6         HEAD
 1         11                31.00000       334.4000       65        64        1         HEAD
 1         11                31.00000       334.4000       65        64        2         HEAD
 1         11                31.00000       334.4000       65        64        3         HEAD
 1         11                31.00000       334.4000       65        64        4         HEAD
 1         11                31.00000       334.4000       65        64        5         HEAD
 1         11                31.00000       334.4000       65        64        6         HEAD
 1         12                30.00000       364.4000       65        64        1         HEAD
 1         12                30.00000       364.4000       65        64        2         HEAD
 1         12                30.00000       364.4000       65        64        3         HEAD
 1         12                30.00000       364.4000       65        64        4         HEAD
 1         12                30.00000       364.4000       65        64        5         HEAD
 1         12                30.00000       364.4000       65        64        6         HEAD
 1         13                31.00000       395.4000       65        64        1         HEAD
 1         13                31.00000       395.4000       65        64        2         HEAD
 1         13                31.00000       395.4000       65        64        3         HEAD
 1         13                31.00000       395.4000       65        64        4         HEAD
 1         13                31.00000       395.4000       65        64        5         HEAD
 1         13                31.00000       395.4000       65        64        6         HEAD
 1         14                31.00000       426.4000       65        64        1         HEAD
 1         14                31.00000       426.4000       65        64        2         HEAD
 1         14                31.00000       426.4000       65        64        3         HEAD
 1         14                31.00000       426.4000       65        64        4         HEAD
 1         14                31.00000       426.4000       65        64        5         HEAD
 1         14                31.00000       426.4000       65        64        6         HEAD
 1         15                28.00000       454.4000       65        64        1         HEAD
 1         15                28.00000       454.4000       65        64        2         HEAD
 1         15                28.00000       454.4000       65        64        3         HEAD
 1         15                28.00000       454.4000       65        64        4         HEAD
 1         15                28.00000       454.4000       65        64        5         HEAD
 1         15                28.00000       454.4000       65        64        6         HEAD
 1         16                31.00000       485.4000       65        64        1         HEAD
 1         16                31.00000       485.4000       65        64        2         HEAD
 1         16                31.00000       485.4000       65        64        3         HEAD
 1         16                31.00000       485.4000       65        64        4         HEAD
 1         16                31.00000       485.4000       65        64        5         HEAD
 1         16                31.00000       485.4000       65        64        6         HEAD
 1         17                30.00000       515.4000       65        64        1         HEAD
 1         17                30.00000       515.4000       65        64        2         HEAD
 1         17                30.00000       515.4000       65        64        3         HEAD
 1         17                30.00000       515.4000       65        64        4         HEAD
 1         17                30.00000       515.4000       65        64        5         HEAD
 1         17                30.00000       515.4000       65        64        6         HEAD
 1         18                31.00000       546.4000       65        64        1         HEAD
 1         18                31.00000       546.4000       65        64        2         HEAD
 1         18                31.00000       546.4000       65        64        3         HEAD
 1         18                31.00000       546.4000       65        64        4         HEAD
 1         18                31.00000       546.4000       65        64        5         HEAD
 1         18                31.00000       546.4000       65        64        6         HEAD
 1         19                30.00000       576.4000       65        64        1         HEAD
 1         19                30.00000       576.4000       65        64        2         HEAD
 1         19                30.00000       576.4000       65        64        3         HEAD
 1         19                30.00000       576.4000       65        64        4         HEAD
