time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
31.00000000000,-85529.,-0.69359E+06,-0.14449E+06,-0.10308E+07,-0.50863E+07,-0.58675E+06,-0.19114E+07,-0.19574E+07,-0.12729E+08,0.0000,-0.42394E+07,-0.14476E+07,-0.94783E+07,-0.39570E+07,-0.11908E+07,-0.10956E+07,-0.38472E+07,-0.13361E+07
59.00000000000,-83311.,-0.67548E+06,-0.13892E+06,-0.98683E+06,-0.48651E+07,-0.57495E+06,-0.18019E+07,-0.18990E+07,-0.12473E+08,0.0000,-0.40650E+07,-0.13724E+07,-0.88083E+07,-0.35803E+07,-0.11500E+07,-0.10121E+07,-0.35058E+07,-0.12624E+07
90.00000000000,-80987.,-0.65726E+06,-0.13302E+06,-0.94072E+06,-0.46531E+07,-0.56288E+06,-0.17032E+07,-0.18392E+07,-0.12255E+08,0.0000,-0.39173E+07,-0.13092E+07,-0.84473E+07,-0.32477E+07,-0.11079E+07,-0.95731E+06,-0.32481E+07,-0.11896E+07
120.0000000000,-83815.,-0.67783E+06,-0.13506E+06,-0.94110E+06,-0.47853E+07,-0.56447E+06,-0.19365E+07,-0.19467E+07,-0.14266E+08,0.0000,-0.45544E+07,-0.20988E+07,-0.85195E+07,-0.33029E+07,-0.11364E+07,-0.12787E+07,-0.39235E+07,-0.12091E+07
151.0000000000,-87517.,-0.73437E+06,-0.14462E+06,-0.10134E+07,-0.52869E+07,-0.58862E+06,-0.23837E+07,-0.22461E+07,-0.17974E+08,0.0000,-0.59281E+07,-0.40400E+07,-0.92472E+07,-0.39109E+07,-0.12262E+07,-0.24024E+07,-0.53503E+07,-0.13209E+07
181.0000000000,-90780.,-0.78785E+06,-0.15393E+06,-0.10814E+07,-0.57847E+07,-0.60538E+06,-0.28997E+07,-0.24051E+07,-0.20600E+08,0.0000,-0.70643E+07,-0.48101E+07,-0.10157E+08,-0.45862E+07,-0.13552E+07,-0.35509E+07,-0.65715E+07,-0.14572E+07
212.0000000000,-92621.,-0.80671E+06,-0.15776E+06,-0.11409E+07,-0.60131E+07,-0.61588E+06,-0.31722E+07,-0.24748E+07,-0.21411E+08,0.0000,-0.76217E+07,-0.48607E+07,-0.10903E+08,-0.50065E+07,-0.14625E+07,-0.41897E+07,-0.71394E+07,-0.15633E+07
243.0000000000,-93924.,-0.83502E+06,-0.16557E+06,-0.11951E+07,-0.62649E+07,-0.62138E+06,-0.33946E+07,-0.26139E+07,-0.21777E+08,0.0000,-0.79835E+07,-0.48768E+07,-0.11459E+08,-0.57721E+07,-0.15332E+07,-0.50010E+07,-0.74967E+07,-0.16503E+07
273.0000000000,-95071.,-0.84617E+06,-0.16778E+06,-0.12135E+07,-0.63265E+07,-0.62666E+06,-0.34365E+07,-0.26386E+07,-0.20789E+08,0.0000,-0.77026E+07,-0.44155E+07,-0.11560E+08,-0.58932E+07,-0.15161E+07,-0.44494E+07,-0.71071E+07,-0.16679E+07
304.0000000000,-93716.,-0.81900E+06,-0.16340E+06,-0.11746E+07,-0.61236E+07,-0.62253E+06,-0.29632E+07,-0.24905E+07,-0.17564E+08,0.0000,-0.63165E+07,-0.34721E+07,-0.11222E+08,-0.53804E+07,-0.14485E+07,-0.30964E+07,-0.63960E+07,-0.16222E+07
334.0000000000,-90890.,-0.78729E+06,-0.15506E+06,-0.11173E+07,-0.57182E+07,-0.60633E+06,-0.25933E+07,-0.22801E+07,-0.15505E+08,0.0000,-0.53566E+07,-0.22972E+07,-0.10633E+08,-0.46449E+07,-0.13851E+07,-0.18057E+07,-0.51978E+07,-0.15185E+07
365.0000000000,-88197.,-0.76066E+06,-0.14751E+06,-0.10637E+07,-0.53730E+07,-0.59121E+06,-0.23366E+07,-0.21327E+07,-0.14256E+08,0.0000,-0.48118E+07,-0.17669E+07,-0.99006E+07,-0.40791E+07,-0.13275E+07,-0.13028E+07,-0.43083E+07,-0.14227E+07
396.0000000000,-85614.,-0.73575E+06,-0.14064E+06,-0.10139E+07,-0.50829E+07,-0.57729E+06,-0.21342E+07,-0.20263E+07,-0.13497E+08,0.0000,-0.44629E+07,-0.15143E+07,-0.90492E+07,-0.36413E+07,-0.12746E+07,-0.11037E+07,-0.37641E+07,-0.13352E+07
424.0000000000,-83281.,-0.71459E+06,-0.13482E+06,-0.97051E+06,-0.48584E+07,-0.56547E+06,-0.19923E+07,-0.19425E+07,-0.13014E+08,0.0000,-0.42188E+07,-0.13827E+07,-0.85709E+07,-0.33169E+07,-0.12296E+07,-0.10165E+07,-0.34317E+07,-0.12618E+07
455.0000000000,-80763.,-0.69204E+06,-0.12885E+06,-0.92502E+06,-0.46444E+07,-0.55313E+06,-0.18698E+07,-0.18637E+07,-0.12614E+08,0.0000,-0.40017E+07,-0.12862E+07,-0.80433E+07,-0.30323E+07,-0.11833E+07,-0.95722E+06,-0.31823E+07,-0.11864E+07
485.0000000000,-81463.,-0.70699E+06,-0.13402E+06,-0.96457E+06,-0.48292E+07,-0.56150E+06,-0.20733E+07,-0.20166E+07,-0.15200E+08,0.0000,-0.48104E+07,-0.24030E+07,-0.84412E+07,-0.34863E+07,-0.12417E+07,-0.17089E+07,-0.41271E+07,-0.12247E+07
516.0000000000,-83170.,-0.75198E+06,-0.14592E+06,-0.10713E+07,-0.52993E+07,-0.57480E+06,-0.24787E+07,-0.23277E+07,-0.17872E+08,0.0000,-0.60183E+07,-0.39802E+07,-0.92032E+07,-0.44262E+07,-0.13122E+07,-0.31938E+07,-0.54735E+07,-0.13304E+07
546.0000000000,-85648.,-0.80707E+06,-0.15656E+06,-0.11533E+07,-0.58582E+07,-0.59453E+06,-0.29870E+07,-0.25694E+07,-0.20573E+08,0.0000,-0.70312E+07,-0.49731E+07,-0.10028E+08,-0.52091E+07,-0.14958E+07,-0.43695E+07,-0.65334E+07,-0.14919E+07
577.0000000000,-86878.,-0.80691E+06,-0.16204E+06,-0.12107E+07,-0.60184E+07,-0.60142E+06,-0.31345E+07,-0.25894E+07,-0.19915E+08,0.0000,-0.72098E+07,-0.46541E+07,-0.10779E+08,-0.59202E+07,-0.15324E+07,-0.51641E+07,-0.72572E+07,-0.15847E+07
608.0000000000,-88135.,-0.81724E+06,-0.16905E+06,-0.12612E+07,-0.61373E+07,-0.60504E+06,-0.32759E+07,-0.26775E+07,-0.19794E+08,0.0000,-0.76175E+07,-0.45080E+07,-0.11330E+08,-0.66142E+07,-0.15178E+07,-0.56060E+07,-0.74987E+07,-0.16404E+07
638.0000000000,-88705.,-0.81243E+06,-0.17386E+06,-0.12946E+07,-0.62422E+07,-0.61492E+06,-0.29036E+07,-0.27857E+07,-0.18727E+08,0.0000,-0.70593E+07,-0.46764E+07,-0.11463E+08,-0.69359E+07,-0.14710E+07,-0.51865E+07,-0.70887E+07,-0.16596E+07
669.0000000000,-87472.,-0.77098E+06,-0.16545E+06,-0.12386E+07,-0.58608E+07,-0.60811E+06,-0.24477E+07,-0.24611E+07,-0.15456E+08,0.0000,-0.54609E+07,-0.31327E+07,-0.10957E+08,-0.60710E+07,-0.13796E+07,-0.28944E+07,-0.61745E+07,-0.15905E+07
