time,HEAD_1_38_35,HEAD_1_38_39,HEAD_1_39_37,HEAD_1_40_35,HEAD_1_40_39,HEAD_3_38_35,HEAD_3_38_39,HEAD_3_39_37,HEAD_3_40_35,HEAD_3_40_39
31.00000000000,2556.0,2632.3,2597.0,2576.1,2628.5,2557.4,2623.6,2592.4,2572.9,2624.0
59.00000000000,2555.8,2632.2,2596.8,2575.5,2628.4,2557.1,2622.8,2591.0,2571.8,2622.0
90.00000000000,2555.5,2632.1,2596.6,2574.6,2628.1,2556.7,2621.7,2589.4,2570.7,2620.1
120.0000000000,2555.3,2632.0,2596.4,2573.8,2627.8,2556.1,2620.0,2586.5,2569.3,2616.9
151.0000000000,2555.3,2632.0,2596.3,2573.6,2627.6,2556.1,2619.0,2584.6,2569.6,2615.2
181.0000000000,2555.3,2632.0,2596.2,2573.5,2627.2,2555.9,2617.9,2582.1,2569.4,2612.8
212.0000000000,2555.3,2632.0,2596.0,2573.5,2626.9,2555.7,2616.4,2580.6,2569.1,2611.6
243.0000000000,2555.5,2632.1,2596.0,2574.0,2626.6,2556.3,2617.3,2582.3,2570.6,2613.6
273.0000000000,2555.5,2632.1,2595.8,2574.3,2626.5,2556.7,2618.9,2585.2,2571.5,2616.9
304.0000000000,2555.5,2631.9,2595.6,2574.4,2626.3,2556.7,2620.4,2587.2,2571.8,2619.4
334.0000000000,2555.4,2631.8,2595.4,2574.3,2626.1,2556.9,2621.9,2589.4,2571.9,2621.5
365.0000000000,2555.3,2631.7,2595.2,2574.0,2626.0,2556.8,2622.5,2589.9,2571.4,2621.8
396.0000000000,2555.2,2631.6,2595.1,2573.6,2625.9,2556.7,2622.3,2590.1,2570.9,2621.6
424.0000000000,2555.1,2631.4,2594.9,2573.1,2625.8,2556.4,2621.6,2589.0,2570.0,2620.1
455.0000000000,2554.9,2631.3,2594.6,2572.3,2625.5,2556.0,2620.5,2587.4,2568.9,2618.2
485.0000000000,2554.7,2631.2,2594.4,2571.9,2625.3,2555.4,2618.5,2584.5,2568.0,2615.1
516.0000000000,2554.7,2631.3,2594.4,2571.9,2625.1,2555.5,2617.7,2582.8,2568.4,2613.4
546.0000000000,2555.0,2631.4,2594.4,2572.2,2624.9,2555.7,2616.8,2580.7,2568.4,2611.2
577.0000000000,2554.8,2631.4,2594.2,2572.1,2624.4,2554.9,2613.8,2577.9,2567.4,2608.9
608.0000000000,2554.7,2631.3,2593.9,2572.4,2624.1,2555.2,2614.7,2579.5,2568.8,2611.2
638.0000000000,2554.5,2631.2,2593.7,2572.7,2623.8,2555.2,2616.3,2582.2,2569.7,2614.8
669.0000000000,2554.3,2631.0,2593.4,2572.7,2623.6,2555.1,2617.5,2584.0,2569.7,2616.7
699.0000000000,2554.2,2630.9,2593.2,2572.6,2623.5,2555.5,2620.0,2587.1,2570.2,2619.3
730.0000000000,2554.1,2630.7,2593.0,2572.4,2623.4,2555.5,2620.9,2587.9,2569.8,2619.6
