time,HEAD_1_38_35,HEAD_1_38_39,HEAD_1_39_37,HEAD_1_40_35,HEAD_1_40_39,HEAD_3_38_35,HEAD_3_38_39,HEAD_3_39_37,HEAD_3_40_35,HEAD_3_40_39
31.00000000000,2556.0,2632.3,2597.0,2576.1,2628.6,2557.4,2623.7,2592.8,2573.0,2624.4
59.00000000000,2555.8,2632.2,2596.8,2575.5,2628.4,2557.2,2623.2,2592.4,2572.2,2623.5
90.00000000000,2555.6,2632.1,2596.7,2574.8,2628.3,2556.9,2622.5,2591.8,2571.4,2622.7
120.0000000000,2555.5,2632.0,2596.6,2574.2,2628.2,2556.5,2621.4,2590.9,2570.5,2621.7
151.0000000000,2555.6,2632.1,2596.7,2574.3,2628.2,2556.7,2621.2,2591.2,2571.4,2622.2
181.0000000000,2555.7,2632.1,2596.8,2574.6,2628.2,2556.9,2620.9,2591.4,2572.1,2622.6
212.0000000000,2555.8,2632.2,2596.9,2575.0,2628.3,2556.9,2620.0,2591.1,2572.3,2622.6
243.0000000000,2556.1,2632.3,2597.1,2575.9,2628.4,2557.5,2620.9,2592.1,2573.8,2623.9
273.0000000000,2556.3,2632.3,2597.1,2576.3,2628.5,2557.8,2622.1,2592.8,2574.3,2624.8
304.0000000000,2556.3,2632.2,2597.1,2576.5,2628.5,2557.8,2622.9,2592.9,2574.2,2625.2
334.0000000000,2556.2,2632.1,2596.9,2576.4,2628.4,2557.9,2623.7,2593.1,2573.9,2625.2
365.0000000000,2556.2,2632.0,2596.8,2576.1,2628.3,2557.7,2623.8,2593.0,2573.3,2624.8
396.0000000000,2556.1,2631.9,2596.7,2575.6,2628.3,2557.5,2623.5,2592.6,2572.6,2624.1
424.0000000000,2555.9,2631.8,2596.5,2575.0,2628.1,2557.3,2622.8,2592.1,2571.8,2623.3
455.0000000000,2555.7,2631.6,2596.4,2574.3,2628.0,2556.9,2622.0,2591.5,2571.0,2622.4
485.0000000000,2555.6,2631.6,2596.3,2573.9,2627.9,2556.5,2620.6,2590.5,2570.6,2621.4
516.0000000000,2555.7,2631.7,2596.4,2574.2,2627.9,2556.9,2620.5,2591.0,2571.6,2622.0
546.0000000000,2556.1,2631.9,2596.7,2574.8,2628.1,2557.3,2620.5,2591.4,2572.3,2622.4
577.0000000000,2556.0,2631.9,2596.7,2575.1,2628.0,2556.7,2618.1,2589.8,2571.8,2621.3
608.0000000000,2556.1,2631.8,2596.7,2575.6,2628.0,2557.1,2619.0,2590.7,2573.1,2622.8
638.0000000000,2556.0,2631.8,2596.7,2576.0,2628.0,2557.0,2620.0,2591.1,2573.6,2624.0
669.0000000000,2555.8,2631.6,2596.5,2576.0,2627.9,2556.8,2620.6,2591.0,2573.2,2623.9
699.0000000000,2555.7,2631.5,2596.4,2575.9,2627.9,2557.1,2622.4,2592.0,2573.3,2624.3
730.0000000000,2555.6,2631.4,2596.2,2575.5,2627.8,2557.1,2622.9,2592.2,2572.7,2624.0
761.0000000000,2555.5,2631.3,2596.1,2575.0,2627.7,2556.9,2622.7,2591.9,2572.0,2623.3
789.0000000000,2555.3,2631.2,2596.0,2574.5,2627.6,2556.6,2622.1,2591.4,2571.2,2622.5
820.0000000000,2555.1,2631.1,2595.8,2573.7,2627.4,2556.3,2621.3,2590.8,2570.4,2621.6
850.0000000000,2554.9,2631.0,2595.7,2573.2,2627.3,2556.0,2620.3,2590.2,2569.8,2620.9
881.0000000000,2555.2,2631.1,2595.9,2573.5,2627.4,2556.3,2620.1,2590.4,2570.6,2621.1
911.0000000000,2555.4,2631.3,2596.1,2573.9,2627.5,2556.6,2620.1,2590.8,2571.5,2621.8
