bore_id,layer,node_number_bore,node_number,weight
ow0005,4.0,14274,14274,0.18478854340103898
ow0005,4.0,14274,14209,0.09618908439325463
ow0005,4.0,14274,14273,0.08064047964823347
ow0005,4.0,14274,14208,0.04197627060440831
ow0005,6.0,22594,22594,0.27306853650989404
ow0005,6.0,22594,22529,0.1421419965765315
ow0005,6.0,22594,22593,0.11916527591869744
ow0005,6.0,22594,22528,0.062029812947941736
ow0006,3.0,10114,10114,0.6738408295640612
ow0006,3.0,10114,10179,0.31563557883319443
ow0006,3.0,10114,10115,0.010523591602744319
ow0007,1.0,1794,1794,0.6736469123202138
ow0007,1.0,1794,1859,0.3156195180951291
ow0007,1.0,1794,1795,0.01073356958465705
ow0008,4.0,14335,14335,0.5558803602725838
ow0008,4.0,14335,14270,0.2817730546796836
ow0008,4.0,14335,14334,0.10773582077558863
ow0008,4.0,14335,14269,0.05461076427214394
ow0009,3.0,10175,10175,0.5563179039473128
ow0009,3.0,10175,10110,0.28200062124808356
ow0009,3.0,10175,10174,0.10729370336823053
ow0009,3.0,10175,10109,0.05438777143637307
ow0010,3.0,10175,10175,0.5558949242562582
ow0010,3.0,10175,10110,0.2821099909175535
ow0010,3.0,10175,10174,0.1074602830827815
ow0010,3.0,10175,10109,0.054534801743406865
ow0012,1.0,2175,2175,0.500700214494616
ow0012,1.0,2175,2174,0.23300137338403346
ow0012,1.0,2175,2240,0.18173011244837173
ow0012,1.0,2175,2239,0.0845682996729788
ow0013,1.0,2175,2175,0.7201592645251159
ow0013,1.0,2175,2240,0.2064478428828987
ow0013,1.0,2175,2174,0.07339289259198543
ow0014,1.0,2309,2309,0.5285903557753658
ow0014,1.0,2309,2308,0.3144448676387069
ow0014,1.0,2309,2374,0.09841826865044728
ow0014,1.0,2309,2373,0.05854650793547988
ow0015,3.0,10626,10626,0.4997145763265305
ow0015,3.0,10626,10627,0.353986221898487
ow0015,3.0,10626,10561,0.08563637726929399
ow0015,3.0,10626,10562,0.06066282450568861
ow0016,5.0,18742,18742,0.5386965992576933
ow0016,5.0,18742,18741,0.45631448306999545
ow0016,5.0,18742,18807,0.004988917672311215
ow0017,2.0,6601,6601,0.4762092537629891
ow0017,2.0,6601,6600,0.3370019201594719
ow0017,2.0,6601,6666,0.10938188053738054
ow0017,2.0,6601,6665,0.07740694554015848
ow0018,6.0,23744,23744,0.40314148689765344
ow0018,6.0,23744,23745,0.3912884738275189
