time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
30.40000000000,-0.17980E+06,-0.15340E+07,-0.24378E+06,-0.31470E+07,-0.87559E+07,-0.85866E+06,-0.44228E+07,-0.51556E+07,-0.23789E+08,-0.31823E+06,-0.96972E+07,-0.77903E+07,-0.14022E+08,-0.92109E+07,-0.43363E+07,-0.45484E+07,-0.60040E+07,-0.31548E+07
61.40000000000,-0.17609E+06,-0.14750E+07,-0.23083E+06,-0.29938E+07,-0.82951E+07,-0.84152E+06,-0.40325E+07,-0.45171E+07,-0.20907E+08,-0.29961E+06,-0.84110E+07,-0.51859E+07,-0.13003E+08,-0.80197E+07,-0.41458E+07,-0.27519E+07,-0.49009E+07,-0.29574E+07
89.40000000000,-0.17289E+06,-0.14287E+07,-0.22113E+06,-0.28634E+07,-0.79281E+07,-0.82699E+06,-0.37704E+07,-0.41391E+07,-0.19596E+08,-0.28610E+06,-0.79676E+07,-0.42761E+07,-0.12504E+08,-0.71444E+07,-0.39813E+07,-0.19441E+07,-0.43067E+07,-0.27905E+07
120.4000000000,-0.16968E+06,-0.13850E+07,-0.21173E+06,-0.27282E+07,-0.75771E+07,-0.81240E+06,-0.35515E+07,-0.38555E+07,-0.18834E+08,-0.27470E+06,-0.77363E+07,-0.38696E+07,-0.11765E+08,-0.63577E+07,-0.38083E+07,-0.15634E+07,-0.39137E+07,-0.26197E+07
150.4000000000,-0.16943E+06,-0.13650E+07,-0.21107E+06,-0.26702E+07,-0.75901E+07,-0.80838E+06,-0.35550E+07,-0.38866E+07,-0.21540E+08,-0.25899E+06,-0.84409E+07,-0.45219E+07,-0.11927E+08,-0.64101E+07,-0.37278E+07,-0.25366E+07,-0.48948E+07,-0.25581E+07
181.4000000000,-0.17221E+06,-0.14295E+07,-0.22076E+06,-0.27199E+07,-0.79602E+07,-0.83272E+06,-0.41603E+07,-0.43518E+07,-0.25297E+08,-0.26452E+06,-0.10342E+08,-0.71174E+07,-0.12840E+08,-0.75724E+07,-0.37338E+07,-0.47334E+07,-0.66905E+07,-0.26389E+07
211.4000000000,-0.17428E+06,-0.14797E+07,-0.22870E+06,-0.27720E+07,-0.83080E+07,-0.86341E+06,-0.45871E+07,-0.46644E+07,-0.27730E+08,-0.23844E+06,-0.12069E+08,-0.85220E+07,-0.13920E+08,-0.85983E+07,-0.37907E+07,-0.62135E+07,-0.81966E+07,-0.27693E+07
242.4000000000,-0.17572E+06,-0.15386E+07,-0.23896E+06,-0.28654E+07,-0.87382E+07,-0.88550E+06,-0.51014E+07,-0.50606E+07,-0.28944E+08,-0.24938E+06,-0.12953E+08,-0.89271E+07,-0.14714E+08,-0.94576E+07,-0.39159E+07,-0.66249E+07,-0.89389E+07,-0.29310E+07
273.4000000000,-0.17664E+06,-0.15840E+07,-0.24652E+06,-0.29219E+07,-0.90486E+07,-0.90435E+06,-0.54535E+07,-0.52443E+07,-0.29163E+08,-0.25445E+06,-0.13414E+08,-0.89685E+07,-0.15308E+08,-0.10058E+08,-0.39597E+07,-0.66990E+07,-0.93683E+07,-0.30276E+07
303.4000000000,-0.17909E+06,-0.15969E+07,-0.24820E+06,-0.29465E+07,-0.90920E+07,-0.90697E+06,-0.53172E+07,-0.53281E+07,-0.27303E+08,-0.26960E+06,-0.12411E+08,-0.93218E+07,-0.15429E+08,-0.10084E+08,-0.39936E+07,-0.57586E+07,-0.85964E+07,-0.30892E+07
334.4000000000,-0.17662E+06,-0.15378E+07,-0.23659E+06,-0.28185E+07,-0.87444E+07,-0.88658E+06,-0.48649E+07,-0.46357E+07,-0.24848E+08,-0.24488E+06,-0.10703E+08,-0.58289E+07,-0.14624E+08,-0.89157E+07,-0.38051E+07,-0.35474E+07,-0.74651E+07,-0.29745E+07
364.4000000000,-0.17331E+06,-0.14801E+07,-0.22501E+06,-0.26847E+07,-0.82347E+07,-0.86744E+06,-0.44031E+07,-0.41715E+07,-0.21520E+08,-0.24197E+06,-0.92314E+07,-0.43513E+07,-0.13490E+08,-0.77736E+07,-0.36371E+07,-0.22653E+07,-0.58469E+07,-0.27806E+07
