time,LOWELL
30.40000000000,0.15794E+07
61.40000000000,0.20385E+07
89.40000000000,0.20483E+07
120.4000000000,0.25194E+07
150.4000000000,0.25296E+07
181.4000000000,0.26567E+07
211.4000000000,0.21992E+07
242.4000000000,0.13579E+07
273.4000000000,0.83707E+06
303.4000000000,0.11913E+07
334.4000000000,0.20402E+07
364.4000000000,0.20553E+07
395.4000000000,0.20684E+07
426.4000000000,0.20854E+07
454.4000000000,0.22533E+07
485.4000000000,0.25868E+07
515.4000000000,0.24985E+07
546.4000000000,0.22020E+07
576.4000000000,0.22439E+07
607.4000000000,0.18311E+07
638.4000000000,0.13804E+07
668.4000000000,0.12000E+07
699.4000000000,0.15400E+07
729.4000000000,0.17033E+07
760.4000000000,0.17292E+07
791.4000000000,0.17537E+07
820.4000000000,0.17772E+07
851.4000000000,0.19489E+07
881.4000000000,0.24058E+07
912.4000000000,0.25874E+07
942.4000000000,0.22940E+07
973.4000000000,0.18912E+07
1004.400000000,0.15222E+07
1034.400000000,0.15702E+07
1065.400000000,0.17864E+07
1095.400000000,0.18147E+07
1126.400000000,0.19811E+07
1157.400000000,0.19923E+07
1185.400000000,0.20034E+07
1216.400000000,0.27817E+07
1246.400000000,0.32974E+07
1277.400000000,0.30723E+07
1307.400000000,0.28698E+07
1338.400000000,0.20503E+07
1369.400000000,0.13472E+07
1399.400000000,0.16490E+07
1430.400000000,0.25968E+07
1460.400000000,0.25874E+07
1491.400000000,0.25745E+07
1522.400000000,0.25657E+07
1550.400000000,0.25620E+07
1581.400000000,0.25621E+07
1611.400000000,0.28745E+07
1642.400000000,0.25333E+07
1672.400000000,0.25917E+07
1703.400000000,0.18586E+07
1734.400000000,0.13133E+07
1764.400000000,0.11056E+07
1795.400000000,0.14442E+07
1825.400000000,0.14777E+07
1856.400000000,0.16563E+07
1887.400000000,0.16737E+07
1915.400000000,0.18447E+07
1946.400000000,0.24951E+07
1976.400000000,0.33363E+07
2007.400000000,0.31099E+07
2037.400000000,0.26012E+07
2068.400000000,0.21446E+07
2099.400000000,0.17090E+07
2129.400000000,0.19060E+07
2160.400000000,0.19551E+07
2190.400000000,0.21375E+07
2221.400000000,0.23152E+07
2252.400000000,0.23104E+07
2281.400000000,0.23080E+07
2312.400000000,0.23086E+07
2342.400000000,0.21581E+07
2373.400000000,0.15590E+07
2403.400000000,0.14616E+07
2434.400000000,0.12264E+07
2465.400000000,0.10205E+07
2495.400000000,0.12215E+07
2526.400000000,0.12533E+07
2556.400000000,0.12706E+07
2587.400000000,0.19484E+07
2618.400000000,0.23150E+07
2646.400000000,0.24854E+07
2677.400000000,0.28520E+07
2707.400000000,0.37389E+07
2738.400000000,0.42656E+07
2768.400000000,0.41261E+07
2799.400000000,0.32372E+07
2830.400000000,0.28218E+07
2860.400000000,0.19551E+07
2891.400000000,0.16558E+07
2921.400000000,0.18439E+07
2952.400000000,0.18568E+07
2983.400000000,0.20475E+07
3011.400000000,0.31439E+07
3042.400000000,0.38418E+07
3072.400000000,0.43836E+07
3103.400000000,0.36691E+07
3133.400000000,0.30787E+07
3164.400000000,0.23946E+07
3195.400000000,0.14421E+07
3225.400000000,0.10812E+07
3256.400000000,0.12846E+07
3286.400000000,0.14674E+07
3317.400000000,0.14886E+07
3348.400000000,0.18376E+07
3376.400000000,0.25854E+07
3407.400000000,0.33249E+07
3437.400000000,0.46999E+07
3468.400000000,0.54762E+07
3498.400000000,0.48246E+07
3529.400000000,0.40318E+07
3560.400000000,0.30120E+07
3590.400000000,0.30032E+07
3621.400000000,0.33794E+07
3651.400000000,0.33571E+07
3682.400000000,0.37219E+07
3713.400000000,0.47404E+07
3742.400000000,0.48814E+07
3773.400000000,0.45817E+07
3803.400000000,0.45326E+07
3834.400000000,0.44757E+07
3864.400000000,0.41869E+07
3895.400000000,0.33190E+07
3926.400000000,0.27645E+07
3956.400000000,0.29381E+07
3987.400000000,0.33190E+07
4017.400000000,0.35037E+07
4048.400000000,0.34895E+07
4079.400000000,0.34805E+07
4107.400000000,0.34765E+07
4138.400000000,0.38766E+07
4168.400000000,0.36282E+07
4199.400000000,0.39952E+07
4229.400000000,0.39369E+07
4260.400000000,0.32810E+07
4291.400000000,0.27327E+07
4321.400000000,0.29246E+07
4352.400000000,0.35101E+07
4382.400000000,0.34994E+07
4413.400000000,0.34898E+07
4444.400000000,0.34848E+07
4472.400000000,0.34841E+07
4503.400000000,0.34871E+07
4533.400000000,0.40784E+07
4564.400000000,0.40085E+07
4594.400000000,0.41699E+07
4625.400000000,0.35047E+07
4656.400000000,0.24238E+07
4686.400000000,0.24481E+07
4717.400000000,0.32177E+07
4747.400000000,0.32280E+07
4778.400000000,0.32316E+07
4809.400000000,0.32367E+07
4837.400000000,0.32438E+07
4868.400000000,0.40367E+07
4898.400000000,0.41920E+07
4929.400000000,0.41288E+07
4959.400000000,0.40508E+07
4990.400000000,0.30540E+07
5021.400000000,0.22451E+07
5051.400000000,0.24484E+07
5082.400000000,0.32314E+07
5112.400000000,0.32427E+07
5143.400000000,0.30615E+07
5174.400000000,0.32552E+07
5203.400000000,0.30748E+07
5234.400000000,0.30903E+07
5264.400000000,0.38968E+07
5295.400000000,0.40354E+07
5325.400000000,0.37859E+07
5356.400000000,0.28176E+07
5387.400000000,0.20443E+07
