time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
31.00000000000,-85529.,-0.69360E+06,-0.14449E+06,-0.10308E+07,-0.50863E+07,-0.58675E+06,-0.19115E+07,-0.19574E+07,-0.12729E+08,0.0000,-0.42397E+07,-0.14476E+07,-0.94783E+07,-0.39570E+07,-0.11908E+07,-0.10956E+07,-0.38472E+07,-0.13361E+07
59.00000000000,-83312.,-0.67551E+06,-0.13893E+06,-0.98683E+06,-0.48651E+07,-0.57495E+06,-0.18023E+07,-0.18990E+07,-0.12473E+08,0.0000,-0.40661E+07,-0.13724E+07,-0.88083E+07,-0.35803E+07,-0.11500E+07,-0.10121E+07,-0.35058E+07,-0.12624E+07
90.00000000000,-80991.,-0.65735E+06,-0.13302E+06,-0.94072E+06,-0.46531E+07,-0.56289E+06,-0.17043E+07,-0.18392E+07,-0.12256E+08,0.0000,-0.39200E+07,-0.13092E+07,-0.84473E+07,-0.32477E+07,-0.11079E+07,-0.95731E+06,-0.32481E+07,-0.11896E+07
120.0000000000,-83825.,-0.67803E+06,-0.13506E+06,-0.94110E+06,-0.47853E+07,-0.56450E+06,-0.19390E+07,-0.19467E+07,-0.14268E+08,0.0000,-0.45604E+07,-0.20990E+07,-0.85195E+07,-0.33029E+07,-0.11364E+07,-0.12787E+07,-0.39235E+07,-0.12091E+07
151.0000000000,-87536.,-0.73476E+06,-0.14462E+06,-0.10134E+07,-0.52870E+07,-0.58868E+06,-0.23892E+07,-0.22461E+07,-0.17979E+08,0.0000,-0.59394E+07,-0.40404E+07,-0.92472E+07,-0.39109E+07,-0.12262E+07,-0.24024E+07,-0.53503E+07,-0.13209E+07
181.0000000000,-90814.,-0.78852E+06,-0.15393E+06,-0.10814E+07,-0.57848E+07,-0.60548E+06,-0.29089E+07,-0.24052E+07,-0.20607E+08,0.0000,-0.70828E+07,-0.48107E+07,-0.10157E+08,-0.45862E+07,-0.13552E+07,-0.35509E+07,-0.65715E+07,-0.14572E+07
212.0000000000,-92674.,-0.80776E+06,-0.15776E+06,-0.11409E+07,-0.60131E+07,-0.61604E+06,-0.31858E+07,-0.24749E+07,-0.21423E+08,0.0000,-0.76628E+07,-0.48616E+07,-0.10903E+08,-0.50065E+07,-0.14625E+07,-0.41897E+07,-0.71394E+07,-0.15633E+07
243.0000000000,-94000.,-0.83646E+06,-0.16557E+06,-0.11951E+07,-0.62649E+07,-0.62161E+06,-0.34128E+07,-0.26140E+07,-0.21796E+08,0.0000,-0.80388E+07,-0.48781E+07,-0.11459E+08,-0.57721E+07,-0.15332E+07,-0.50010E+07,-0.74967E+07,-0.16503E+07
273.0000000000,-95168.,-0.84796E+06,-0.16778E+06,-0.12135E+07,-0.63266E+07,-0.62696E+06,-0.34583E+07,-0.26387E+07,-0.20812E+08,0.0000,-0.77664E+07,-0.44171E+07,-0.11560E+08,-0.58932E+07,-0.15161E+07,-0.44494E+07,-0.71071E+07,-0.16679E+07
304.0000000000,-93833.,-0.82110E+06,-0.16340E+06,-0.11746E+07,-0.61237E+07,-0.62290E+06,-0.29880E+07,-0.24907E+07,-0.17590E+08,0.0000,-0.63862E+07,-0.34737E+07,-0.11222E+08,-0.53804E+07,-0.14485E+07,-0.30964E+07,-0.63960E+07,-0.16222E+07
